filename,Artistic Categories,Total aesthetic score,Theme and logic,Creativity,Layout and composition,Space and perspective,The sense of order,Light and shadow,Color,Details and texture,The overall,Mood,Language Comment
013d017ba64f4a31b1233e341d0466f8.jpg,sketching*classicism*still life,74.17,6.67,,7.33,6.83,7.17,6,,6.17,7,7,"The visual storytelling is strong, the visuals are full of imagination, the composition is novel, and all aspects of the visuals are good, making it a great work"
014dd7cbafb546e4b4120913c8740f53.jpg,oil painting*romanticism*landscapes,66,7.2,6.8,6.4,,7.6,,6.4,6.4,7.2,6.4,
014f401cc2764ddcb23d75c0665f851c.jpg,oil painting*romanticism*landscapes,48.75,5.25,4.75,4.75,,4.75,,4.75,4.5,4.62,4.62,"The composition is somewhat mediocre, although there is some contrast in color, the theme is not clear, and the sense of detail is insufficient"
0150c99e94284dc9b9f262e18f222405.jpg,oil painting*classicism*landscapes,80.71,7.43,,7.86,7.71,7.29,7.29,6.86,8,7.86,7.14,"The composition is rigorous and complete, the visual effect of the picture is strong, the colors are very clever, and the scenery of the characters is very exquisite"
016a37de6a7e416ebf6245f201efde38.png,traditional Chinese painting*freehand*portraiture,73.33,7.67,7.33,7.33,,7.67,,7,7,7.33,,
0177c8937ea64213aa1dce9b6f48592b.jpg,sketching*romanticism*still life,54.17,4.67,5.5,5.33,,5.67,,,5.5,5.33,5.17,"The painting content of this picture is too simple, and it is still acceptable as a children's creative line drawing."
0183de8b426a467db8253c531c7d0bf9.png,traditional Chinese painting*meticulous*floral and avian,70.83,6.33,,6.67,7,6.67,6.5,6.17,6.83,6.5,6.83,
0184610310f34f2d9a3970f52c9c83dc.png,oil painting*romanticism*still life,54,5.2,5.2,5.4,,5.6,,5.6,5.2,5.6,5.8,
0186f401f3b8446888ad5b83d7ba2afc.jpg,oil painting*classicism*landscapes,48.33,4.67,,4.33,4.33,4.5,4.5,4.17,4.17,4.5,4.5,"The composition is not quite right, there is no center point in the picture, the color is too gray, add some details"
018afdfe98f44c42928e64b63411b284.jpg,traditional Chinese painting*freehand*floral and avian,77.5,7.17,7.17,6.83,,7,,7.5,7.17,7.17,7,"Very innovative traditional Chinese painting techniques, with elegant colors and delicate shapes. Well dyed with color halo, the composition of the picture is taught by the education committee and the road, and the details are slightly insufficient"
018b460758a3428cabc53d2bfdf3bcfe.png,traditional Chinese painting*meticulous*mountains and water,80,8.17,,7.83,7.67,7.67,7.83,8,8.17,7.67,7.83,
018deeb142694c909201a042c96eb3c9.jpg,oil painting*romanticism*portraiture,75,7.33,7.67,6.5,,6.83,,7.33,7,7,,
0191060053f4443297f3abb84820882e.png,traditional Chinese painting*freehand*floral and avian,60,6.33,5.5,5.5,,6.5,,5.83,5.67,6.17,5.83,
01943cd1f5084a79b24f79b2127e62ab.jpg,oil painting*romanticism*still life,74.29,7.29,7,6.43,,6.43,,7.14,7.14,7.14,7,"The screen is rich in color, with vivid details, prominent main objects, and a perfectly crafted atmosphere. The composition and layout of this oil painting's still life scene are excellent, and the painter cleverly employs the golden ratio method. However, this oil painting lacks clarity in its thematic expression."
019580bf5f8e4753b1567707a7883100.png,traditional Chinese painting*meticulous*mountains and water,34.17,4,,3.33,2.83,3.33,3,3,3.17,3,3,
01978fa920c34cd4942f6ffa9ddf34af.jpg,sketching*classicism*portraiture,75.83,,,7.17,6.83,,7.33,,7,6.83,,"The completeness of the image is relatively high, with strong overall coherence, clear black, white, and gray, and thorough depiction."
01a58206886a45f991a9f5dd52203168.jpg,oil painting*symbolism*still life,81.43,7.86,,8.14,7.71,7.71,7.71,8.29,7.57,8,7.86,"The contrast is sharp, the central image is prominent, well arranged, and everything is arranged perfectly."
01a7a4c91a6e4740a485f5b12767562f.jpg,sketching*romanticism*portraiture,76.67,6.83,7.33,6.5,,7,,,6.33,7.17,,
01b38ca0ab4741128d1f4f9dc876d9b6.jpg,oil painting*classicism*landscapes,60,6.33,,6.5,5.33,6.33,6,5.67,5.83,5.83,5.67,"The composition is complete and the visual effect is good. The grass color is too yellow, and the depiction of the house needs to be detailed"
01b585f0b924449d87fe6464e4e1381f.png,traditional Chinese painting*freehand*mountains and water,60,6.17,6.33,5.83,,5.67,,5.17,6,6.17,5.5,
01bea2fda43f40198f6811a6622b313f.jpg,oil painting*classicism*portraiture,80.83,,,8.17,7.67,,7.17,7.67,7.5,7,,"The contrast of colors makes the entire picture more clear, and the details are well crafted"
01c5587e4e4f4f7d821f07b2793dee0a.jpg,oil painting*classicism*landscapes,70,6,,6.33,6.67,6.33,6.5,6.17,6,6.83,6.33,"The composition is complete, the visual effect of the picture is weak, the color is a bit gray, and the trees add some details"
01c6a3fa20914b41b3b0374a3d49e0ea.jpg,sketching*classicism*landscapes,78.33,6.83,,6.83,7.33,7.33,6.67,,7.33,7.33,7.33,"The overall composition of the picture is full and sufficient, and there is no clear distinction between the near, medium, and far shots in terms of hierarchy"
01c7b84dcdda4d5888097e98f6c7328d.jpg,sketching*symbolism*still life,62.5,6.17,,6.17,5,6,4.5,,5.83,5.83,4.67,"The picture is vivid and interesting, full of storytelling, with strong black and white gray contrast and dense lines. But it is necessary to strengthen the sense of spatial hierarchy and the relationship between the front and back."
01cb845cc9ac4a5096a6a502ff0ba1ec.jpg,sketching*symbolism*still life,36.67,5.17,,4.67,4.67,4.5,3.67,,3.67,3.83,4.33,"The lines on the screen are relatively stiff, and the priorities are not clear enough. At the same time, the handling of details is not precise enough, and more attention needs to be paid to detail portrayal."
01ce060fd91b45769a0f58ad218a118b.jpg,sketching*symbolism*landscapes,71.67,7.33,,6.67,7,6.83,6.67,,6.5,7,7.17,"The brushstrokes on the screen are slightly rough, with no details reflected. The composition and layout of the picture are relatively reasonable, and the overall picture is grayish"
01d096c072f1411b8bb6b6a6323fa160.jpg,oil painting*symbolism*portraiture,89.17,,,8.5,8.5,,8.33,8.67,8.17,8.67,,
01d33c5f57534a9f88a5156f7a623d52.png,traditional Chinese painting*freehand*mountains and water,64.17,6.5,6.17,6.17,,6,,6.17,6.67,6.17,6.33,"The brushstrokes on the screen are very regular, and the colors are also very standard, creating a strong sense of artistic conception."
01ddb8f011184afa842c749dd262ceca.jpg,sketching*romanticism*portraiture,79.17,7.33,8.17,6.5,,6.83,,,6.67,6.83,,
01e37c640c0a4834bcca0ea70fe88584.png,sketching*symbolism*portraiture,87.5,,,8,8.17,,8.33,,9,8.5,,
01e62b7ec96c429eb54269f494b50bc6.jpg,sketching*symbolism*still life,66.67,7,,5.83,6.17,5.83,6.17,,6.33,6.5,5.67,"The picture is rich and has a strong sense of space, but the contrast between light and dark is not obvious enough, and the contrast effect needs to be strengthened. At the same time, pay attention to the primary and secondary relationship of the screen."
01f833c80ca54e14885c5d3dd2c9525d.JPG,sketching*romanticism*portraiture,68.33,6.17,7,6,,6,,,5.83,6.5,,
01f8df4ab25041d6a2431556abcb35c0.jpg,sketching*classicism*portraiture,72.5,,,6.17,6.17,,6.33,,7.33,6.33,,"The completeness of the image is relatively high, with strong overall coherence, clear black, white, and gray, and thorough depiction."
01f90df093f24dcbbc5b5b3ca6bd61f8.jpg,oil painting*classicism*landscapes,69,6.8,,6.4,6.2,6.8,6,6.4,7,6.4,6.8,
01f9ba009877414aa4ea70490f2ecb6e.png,sketching*classicism*portraiture,85.83,,,7.33,8.5,,8.17,,8.67,7.67,,
01fd522e705b4d8997a710275435739d.jpg,sketching*romanticism*portraiture,35.83,4,3.33,3.67,,3.17,,,3.17,3.67,,"The visuals are simple, sloppy, lacking creativity and evaluative value."
0201a4c434be43688788fe62bc0dd5cf.jpg,oil painting*symbolism*still life,72,6.6,,7.2,7.4,7.2,6.8,6.6,6.8,7.2,6.8,
0202c6c18a2d42d19b92c42ec2c09cbc.png,oil painting*symbolism*still life,39,4.2,,4.4,4.6,4.6,4.2,4.4,4.8,4,4.4,
02061517552c4a67bb1f1ede61b7ac69.jpg,sketching*symbolism*landscapes,74.17,7.5,,7.33,7.5,7.33,7.33,,7.33,7.33,7.5,"The light and shadow effect is slightly abrupt. The composition and layout of this artwork are relatively reasonable, and the details are slightly insufficient, but the picture has a sense of space"
020b6857877e4eb18dab65ff49baab42.png,traditional Chinese painting*freehand*mountains and water,75.83,7.33,6.83,7.17,,6.83,,7,6.67,7.67,7.17,"Composition issue, creativity still exists, color is not enough. The brushstrokes on the screen are very regular, and the colors are also very standard, creating a strong sense of artistic conception."
0210495a8b9d44eb963900524a4e0af2.png,traditional Chinese painting*meticulous*mountains and water,77.5,8,,7.5,7.17,6.83,7.17,6.83,7.67,7,7.33,"The composition is full, the details are rich, the color tone is stable but not ostentatious, the spatial sense is layered, the brushstrokes are very regular, the colors are also very standard, and the artistic conception is very strong."
02140695a12a4803ae71e83d9d107f70.jpg,sketching*symbolism*landscapes,80,7.67,,7.33,7.17,7.33,7,,7.5,7.67,7.17,
021be24a634148249ca8849bcc18ce3c.jpg,sketching*symbolism*still life,62.5,7,,7,6.33,6.17,5.17,,5.67,6.33,6.33,"The character is well shaped, with vivid expression of charm, smooth lines, clear distinction between reality and virtuality, and proper handling of the relationship between light and dark."
0223c7fd2782406e8ead5eb9f999fa12.png,traditional Chinese painting*meticulous*floral and avian,74.17,7.33,,6.83,7.17,7.17,7,7.33,7.5,7.67,7.17,"The color scheme of the picture is bold, with proper moisture control and ink saturation. The picture is neat and the spatial sense is well handled. The brushstrokes on the screen are very regular, and the colors are also very standard, creating a strong sense of artistic conception."
022ffc8c65ed467b8de70315aaedb527.jpg,oil painting*symbolism*landscapes,61.43,5.29,,5.71,5.57,5.86,5.71,6,5.29,6.14,5.57,The colors on the screen are harmonious and the light is well depicted. Poor plant details.
02321b7163f64201ac9eefb8b638f90f.jpg,sketching*symbolism*still life,85.83,8.17,,7.5,7,7.33,7.5,,7.67,8.17,7.33,"The animal depiction in the picture is vivid, full of storytelling and fun, with smooth lines, delicate depictions, and clear contrast between light and dark."
02326b88757d4821980c81a94fd7008b.png,traditional Chinese painting*freehand*mountains and water,73.33,7.17,7,7,,6.33,,6.5,7.17,7.17,7.5,"The picture is very delicate, and calligraphy is the finishing touch. Calligraphy and painting complement each other, and the elements in the picture are concise, intuitive, and rich. The artistic conception still exists, and the details need to be improved."
02374ffd28564aa9bcd20366ecf333f7.jpg,oil painting*romanticism*portraiture,57.14,6.14,5.71,5.43,,5.86,,5.43,5.14,5.86,,"The overall composition of the picture is imbalanced, with good pen touch and uniform color tones, and the depiction needs further exploration."
0245ffd24ab048d4974dd2d7c816dab8.jpg,traditional Chinese painting*meticulous*floral and avian,38.33,4.83,,4,4.33,4.67,4.5,3.67,4.33,4.17,4,"The picture is very simple, and the brushstrokes are also very beginner like, with a very immature way of shaping. The picture lacks completeness, the depiction of objects is too realistic, the composition is lacking, and there is no artistic conception or spatial atmosphere."
0247fc40a6ed41c9ae7b6822cf40141a.jpg,oil painting*classicism*landscapes,50,5.6,,5,4.8,6.2,4.6,4.8,5.4,5.2,4.6,
0248c6bf14b6439794f5b9e6723ba16d.png,traditional Chinese painting*meticulous*floral and avian,70,7.33,,7.17,7,6.5,6.5,7.17,7.33,6.5,7,
024d15814f034e9091b9b14bdd49bfac.jpg,sketching*classicism*portraiture,80,,,7.83,8,,7.17,,7.83,7.67,,
0253751476fb4ff78a0b52295dbf09d5.jpg,sketching*romanticism*landscapes,60.83,5.17,5.17,5.17,,5.17,,,4.17,4.67,4.67,
025aa87efe604ade9cc34306fe192c40.jpg,oil painting*romanticism*landscapes,54.29,6,5.71,5.43,,5.71,,5.71,5.14,5.29,5,"The composition is basically reasonable, the overall picture is harmonious, the color application is bold, the theme is unclear, and there is a slight lack of details"
0264ba31b3d34b7abea92081ac42d2a5.png,traditional Chinese painting*meticulous*mountains and water,65,6.33,,6.5,6.17,6,5.83,6.17,6,6.17,6.5,"The composition of the picture is rigid and lacks variation, with insufficient levels of distant, medium, and close shots, and the color hierarchy is not very innovative in traditional Chinese painting. The colors are very elegant and the shaping is very delicate."
0267bccabfc54bc18874afb7df557c0f.jpg,sketching*classicism*landscapes,80.83,7,,7.17,6.67,7.83,8,,6.67,8.5,6.5,
02727aa4ae8043099a28424d16f1a7f6.jpg,oil painting*symbolism*portraiture,82.86,,,8.14,8,,8.14,7.86,8,7.14,,"The character images are vivid and the emotional expression is profound and delicate, allowing viewers to deeply feel the emotional fluctuations and inner world of the characters in the painting"
0273d552d2ab46148d5bad45c792ec71.jpg,sketching*symbolism*landscapes,79.17,7.67,,7.5,7.67,7.67,7.67,,7.67,7.33,7.33,"The composition and layout of this artwork are relatively reasonable, with slightly insufficient details. The perspective of the image is good, but the texture is not reflected"
028ce559a0a34a2caec3efc98a8a956d.JPG,sketching*classicism*landscapes,54.17,5.17,,5.17,3.83,4.5,5.5,,5.17,5.67,4.33,
028dc85ce3db4fec86d45a635d675b5d.png,sketching*symbolism*still life,82.5,7.67,,7.5,6.83,7.5,7.5,,8.17,7.67,7,
029ace78ab474121a228d4da6a4ac8f2.jpg,oil painting*classicism*still life,41,5.2,,5,3.8,5.2,4.2,4,5.4,3.6,4.4,
02a1f0ae387d4443a88dc8db1b7f0e76.jpg,oil painting*romanticism*landscapes,50,5.75,5.75,4.88,,5,,5,5,5.5,5.12,"The composition is somewhat mediocre, although there is some contrast in color, the theme is not clear, and the sense of detail is insufficient"
02a3db3cb60f49069d84bc3095595107.jpg,sketching*classicism*still life,50.83,4.83,,5.67,5.5,5,5.17,,5.33,5.83,5.17,"The overall visual effect is realistic, with good visual effects and complete visuals, making it a great landscape painting work"
02a592afcc504ba7a0dd7e1b18dd5170.jpg,oil painting*classicism*landscapes,76.67,7.17,,7.5,6.83,7.67,7.83,7.17,7,7.5,7.17,"The composition is rigorous and complete, the visual effect of the picture is strong, the colors are very clever, and the scenery is very exquisite"
02ae7f21dc8a4ae8b8b314bc9b116c59.png,traditional Chinese painting*meticulous*mountains and water,75,7.5,,6.83,7.17,6.67,7,6.5,7.33,7.17,7.17,"Very innovative traditional Chinese painting techniques, with elegant colors and delicate shapes. The stable color tone of the picture is unified, with a certain level of ink expression language, reflecting both reality and virtuality"
02af0301c1d84d529160ed11bf512659.JPG,sketching*romanticism*still life,69.17,6.83,6.83,6.17,,6,,,5.5,5.83,6,
02afe6ab4cf44b4c9ca3ef47666c5c34.jpg,traditional Chinese painting*meticulous*portraiture,65,,,6.5,6,,6,6.33,6.33,6,,"The visuals are quite rigid, with many shadows of Western character portrayal, lacking the unique beauty of traditional Chinese painting. The colors are rather tacky and unpleasant."
02bcea3aeaca48f9bb08523a67739b26.jpg,sketching*symbolism*landscapes,69.17,6.83,,7,6.67,6.83,6.83,,6.67,6.83,6.5,"The composition and layout of this artwork are relatively reasonable, with slightly insufficient details and a rough appearance in the picture"
02bdea3230e3418d888ae9993ce1d048.png,traditional Chinese painting*freehand*portraiture,77.5,7.5,7.5,7.17,,6.83,,7.83,7.33,7.5,,
02c5ced6366b4eda80437fc21a52f34f.jpg,oil painting*classicism*portraiture,57.5,,,6.17,5.33,,5.17,5.67,5.5,5.5,,"The contrast between white clothes and black background creates a sense of hierarchy in the picture, but the details are not well handled, resulting in a mediocre image"
02cd3e4fc6874f5f92dc3454890607db.JPG,sketching*symbolism*landscapes,51.67,5,,4.67,5,4.67,4.5,,5,4.83,4.67,
02d06e5f8b73416498544096189abcdf.jpg,oil painting*classicism*still life,75,7.4,,7.2,6.8,7.2,6.4,7,6.8,7.8,7.6,
02d15a0cb2a04f6ab7df4ca62ce5eab7.jpg,oil painting*symbolism*still life,82.86,8.57,,8.14,8.14,8.57,8.43,8.29,8.57,8.57,8.71,"The contrast is sharp, the central image is prominent, well arranged, and everything is arranged perfectly."
02d16894fb31484c8ded638cc0e16ada.jpg,sketching*symbolism*landscapes,75.83,7.67,,6.83,7.17,7.17,6.67,,7.17,7.5,7.67,"The composition and layout of this artwork are relatively reasonable, with insufficient details and slightly stiff tree trunks, lacking in visual quality"
02d186caa0434bbab13bebacc6d89d03.png,traditional Chinese painting*meticulous*portraiture,81.67,,,7.67,7.83,,8,7.67,7.67,7.67,,"The brushstrokes on the screen are very regular, and the colors are also very standard, creating a strong sense of artistic conception."
02d6d21173dd4b02a3c66a366e2e0cf0.jpg,oil painting*symbolism*still life,80,7.6,,8.2,7.2,7.8,7.6,8.2,7.4,7.6,7.8,
02e1cd5f58054f83a45940557cc159a5.png,oil painting*romanticism*still life,55,7.2,6.4,6,,7.2,,6,6.2,7,6.4,
02e26db7497c45c2a3922df22abb5b28.jpg,oil painting*classicism*still life,73.33,7,,7.17,6.67,6.67,6.83,7,7,7.5,7,"The variety of theme elements is rich, with interesting levels of light and dark, and the portrayal of the main subject is wonderful."
02fc1ea1809e466cbd041f5a55d5ad94.png,traditional Chinese painting*meticulous*portraiture,75,,,7.17,7,,7.33,7,7.17,7.5,,"The picture is very delicate, and calligraphy is the finishing touch. Calligraphy and painting complement each other, and the elements in the picture are concise, intuitive, and rich."
02fc1f2f53b449c6bea396a877511519.jpg,traditional Chinese painting*meticulous*portraiture,75.83,,,7.67,7.33,,7.33,8,7.67,7.67,,"The picture is very delicate, and calligraphy is the finishing touch. Calligraphy and painting complement each other, and the elements in the picture are concise, intuitive, and rich."
030107e6e0c44ff2ad860da747602120.png,traditional Chinese painting*freehand*floral and avian,78.33,8,7.5,7.33,,7,,7,7.17,7.33,7.83,"Very innovative traditional Chinese painting techniques, with elegant colors and delicate shapes. The space arrangement of this work is relatively full, with slightly insufficient details and a slightly messy image"
030440375b114fe7b054ff057596376d.jpg,traditional Chinese painting*freehand*portraiture,76.67,7.67,7.5,7.17,,7.33,,7.33,7.33,7.5,,"A good portrait of a character, but the use of lines and ink on the body is not well considered. The color is too heavy and the lines are similar, which is a very innovative traditional Chinese painting technique that highlights the character's demeanor. The entire character is very lively."
030fbb195b424d4e93182c5ef58cb5e0.jpg,sketching*symbolism*landscapes,77.5,7.33,,7,7.5,6.83,6.17,,7.33,7.33,6.67,
0314437220db41cf9d13ad5b5f7ccb31.JPG,sketching*classicism*landscapes,64.17,6,,6.17,6,6,6,,6.17,6.67,5,
0315f79d74b14157b7d287b0ab25058b.JPG,oil painting*romanticism*landscapes,64,6.2,6.6,6,,6.6,,7,5.4,6.6,6.4,
